CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
b21..	DIUR_THI	Bendroflumethiazide	2.5	BENDROFLUMETHIAZIDE oral susp 2.5mg/5ml
b211.	DIUR_THI	Bendroflumethiazide	2.5	BENDROFLUMETHIAZIDE tabs 2.5mg
b212.	DIUR_THI	Bendroflumethiazide	5	BENDROFLUAZIDE TABLETS 5 MG
b213.	DIUR_THI	Bendroflumethiazide	2.5	APRINOX 2.5mg tabs
b214.	DIUR_THI	Bendroflumethiazide	5	APRINOX tablets 5mg
b221.	DIUR_THI	Chlorothiazide	500	SALURIC TAB 500mg
b22y.	DIUR_THI	Chlorothiazide	250	CHLOROTHIAZIDE oral susp 250mg/5ml
b22z.	DIUR_THI	Chlorothiazide	500	CHLOROTHIAZIDE TAB 500mg
b231.	DIUR_THI	Chlortalidone	50	HYGROTON tabs 50mg
b232.	DIUR_THI	Chlortalidone	100	HYGROTON TAB 100
b23y.	DIUR_THI	Chlorothiazide	50	CHLORTALIDONE tabs 50mg
b251.	DIUR_THI	Cyclopenthiazide	0.5	NAVIDREX tablets 0.5mg
b25z.	DIUR_THI	Cyclopenthiazide	0.5	CYCLOPENTHIAZIDE TABLETS 0.5 MG
b262.	DIUR_THI	Hydrochlorothiazide	50	ESIDREX 50mg tabs
b263.	DIUR_THI	Hydrochlorothiazide	25	HYDROSALURIC tablets 25mg
b26z.	DIUR_THI	Hydrochlorothiazide	25	Hydrochlorothiazide Tablets 25mg
b281.	DIUR_THI	Indapamide	2.5	NATRILIX TABLETS 2.5 MG
b285.	DIUR_THI	Indapamide	1.5	INDAPAMIDE mr tab 1.5mg
b286.	DIUR_THI	Indapamide	1.5	NATRILIX SR TAB 1.5mg
b28z.	DIUR_THI	Indapamide	2.5	INDAPAMIDE TAB 2.5mg
b2b..	DIUR_THI	Metolazone	2.5	Metolazone 2.5mg tablets
b2bz.	DIUR_THI	Metolazone	5	Metolazone 5mg
b2c1.	DIUR_THI	Polythiazide	1	NEPHRIL TAB 1mg
b2d1.	DIUR_THI	Xipamide	20	diurexan 20mg tablets
b2dz.	DIUR_THI	Xipamide	20	Xipamide  Tablets  20 mg
b311.	DIUR_LOOP	Furosemide	20	FRUSEMIDE tabs 20mg
b312.	DIUR_LOOP	Furosemide	40	Furosemide 40mg tablets
b313.	DIUR_LOOP	Furosemide	500	FUROSEMIDE tabs 500mg
